Acceleration,Cyl4,Cylinders,Displacement,Horsepower,Make,Model,Year,MPG,RegionOfOrigin,CountryOfOrigin,Weight
12,Other,8,307,130,chevrolet    ,chevrolet chevelle malibu           ,70,18,USA    ,USA    ,3504
11.5,Other,8,350,165,buick        ,buick skylark 320                   ,70,15,USA    ,USA    ,3693
11,Other,8,318,150,plymouth     ,plymouth satellite                  ,70,18,USA    ,USA    ,3436
12,Other,8,304,150,amc          ,amc rebel sst                       ,70,16,USA    ,USA    ,3433
10.5,Other,8,302,140,ford         ,ford torino                         ,70,17,USA    ,USA    ,3449
10,Other,8,429,198,ford         ,ford galaxie 500                    ,70,15,USA    ,USA    ,4341
9,Other,8,454,220,chevrolet    ,chevrolet impala                    ,70,14,USA    ,USA    ,4354
8.5,Other,8,440,215,plymouth     ,plymouth fury iii                   ,70,14,USA    ,USA    ,4312
10,Other,8,455,225,pontiac      ,pontiac catalina                    ,70,14,USA    ,USA    ,4425
8.5,Other,8,390,190,amc          ,amc ambassador dpl                  ,70,15,USA    ,USA    ,3850
17.5,Four ,4,133,115,citroen      ,citroen ds-21 pallas                ,70,NaN,Europe ,France ,3090
11.5,Other,8,350,165,chevrolet    ,chevrolet chevelle concours (sw)    ,70,NaN,USA    ,USA    ,4142
11,Other,8,351,153,ford         ,ford torino (sw)                    ,70,NaN,USA    ,USA    ,4034
10.5,Other,8,383,175,plymouth     ,plymouth satellite (sw)             ,70,NaN,USA    ,USA    ,4166
11,Other,8,360,175,amc          ,amc rebel sst (sw)                  ,70,NaN,USA    ,USA    ,3850
10,Other,8,383,170,dodge        ,dodge challenger se                 ,70,15,USA    ,USA    ,3563
8,Other,8,340,160,plymouth     ,plymouth 'cuda 340                  ,70,14,USA    ,USA    ,3609
8,Other,8,302,140,ford         ,ford mustang boss 302               ,70,NaN,USA    ,USA    ,3353
9.5,Other,8,400,150,chevrolet    ,chevrolet monte carlo               ,70,15,USA    ,USA    ,3761
10,Other,8,455,225,buick        ,buick estate wagon (sw)             ,70,14,USA    ,USA    ,3086
15,Four ,4,113,95,toyota       ,toyota corona mark ii               ,70,24,Japan  ,Japan  ,2372
15.5,Other,6,198,95,plymouth     ,plymouth duster                     ,70,22,USA    ,USA    ,2833
15.5,Other,6,199,97,amc          ,amc hornet                          ,70,18,USA    ,USA    ,2774
16,Other,6,200,85,ford         ,ford maverick                       ,70,21,USA    ,USA    ,2587
14.5,Four ,4,97,88,datsun       ,datsun pl510                        ,70,27,Japan  ,Japan  ,2130
20.5,Four ,4,97,46,volkswagen   ,volkswagen 1131 deluxe sedan        ,70,26,Europe ,Germany,1835
17.5,Four ,4,110,87,peugeot      ,peugeot 504                         ,70,25,Europe ,France ,2672
14.5,Four ,4,107,90,audi         ,audi 100 ls                         ,70,24,Europe ,Germany,2430
17.5,Four ,4,104,95,saab         ,saab 99e                            ,70,25,Europe ,Sweden ,2375
12.5,Four ,4,121,113,bmw          ,bmw 2002                            ,70,26,Europe ,Germany,2234
15,Other,6,199,90,amc          ,amc gremlin                         ,70,21,USA    ,USA    ,2648
14,Other,8,360,215,ford         ,ford f250                           ,70,10,USA    ,USA    ,4615
15,Other,8,307,200,chevrolet    ,chevrolet c20                       ,70,10,USA    ,USA    ,4376
13.5,Other,8,318,210,dodge        ,dodge d200                          ,70,11,USA    ,USA    ,4382
18.5,Other,8,304,193,ih           ,ih 1200d                            ,70,9,USA    ,USA    ,4732
14.5,Four ,4,97,88,datsun       ,datsun pl510                        ,71,27,Japan  ,Japan  ,2130
15.5,Four ,4,140,90,chevrolet    ,chevrolet vega 2300                 ,71,28,USA    ,USA    ,2264
14,Four ,4,113,95,toyota       ,toyota corona                       ,71,25,Japan  ,Japan  ,2228
19,Four ,4,98,NaN,ford         ,ford pinto                          ,71,25,USA    ,USA    ,2046
20,Four ,4,97,48,volkswagen   ,volkswagen super beetle 117         ,71,NaN,Europe ,Germany,1978
13,Other,6,232,100,amc          ,amc gremlin                         ,71,19,USA    ,USA    ,2634
15.5,Other,6,225,105,plymouth     ,plymouth satellite custom           ,71,16,USA    ,USA    ,3439
15.5,Other,6,250,100,chevrolet    ,chevrolet chevelle malibu           ,71,17,USA    ,USA    ,3329
15.5,Other,6,250,88,ford         ,ford torino 500                     ,71,19,USA    ,USA    ,3302
15.5,Other,6,232,100,amc          ,amc matador                         ,71,18,USA    ,USA    ,3288
12,Other,8,350,165,chevrolet    ,chevrolet impala                    ,71,14,USA    ,USA    ,4209
11.5,Other,8,400,175,pontiac      ,pontiac catalina brougham           ,71,14,USA    ,USA    ,4464
13.5,Other,8,351,153,ford         ,ford galaxie 500                    ,71,14,USA    ,USA    ,4154
13,Other,8,318,150,plymouth     ,plymouth fury iii                   ,71,14,USA    ,USA    ,4096
11.5,Other,8,383,180,dodge        ,dodge monaco (sw)                   ,71,12,USA    ,USA    ,4955
12,Other,8,400,170,ford         ,ford country squire (sw)            ,71,13,USA    ,USA    ,4746
12,Other,8,400,175,pontiac      ,pontiac safari (sw)                 ,71,13,USA    ,USA    ,5140
13.5,Other,6,258,110,amc          ,amc hornet sportabout (sw)          ,71,18,USA    ,USA    ,2962
19,Four ,4,140,72,chevrolet    ,chevrolet vega (sw)                 ,71,22,USA    ,USA    ,2408
15,Other,6,250,100,pontiac      ,pontiac firebird                    ,71,19,USA    ,USA    ,3282
14.5,Other,6,250,88,ford         ,ford mustang                        ,71,18,USA    ,USA    ,3139
14,Four ,4,122,86,mercury      ,mercury capri 2000                  ,71,23,USA    ,USA    ,2220
14,Four ,4,116,90,opel         ,opel 1900                           ,71,28,Europe ,Germany,2123
19.5,Four ,4,79,70,peugeot      ,peugeot 304                         ,71,30,Europe ,France ,2074
14.5,Four ,4,88,76,fiat         ,fiat 124b                           ,71,30,Europe ,Italy  ,2065
19,Four ,4,71,65,toyota       ,toyota corolla 1200                 ,71,31,Japan  ,Japan  ,1773
18,Four ,4,72,69,datsun       ,datsun 1200                         ,71,35,Japan  ,Japan  ,1613
19,Four ,4,97,60,volkswagen   ,volkswagen model 111                ,71,27,Europe ,Germany,1834
20.5,Four ,4,91,70,plymouth     ,plymouth cricket                    ,71,26,USA    ,USA    ,1955
15.5,Four ,4,113,95,toyota       ,toyota corona hardtop               ,72,24,Japan  ,Japan  ,2278
17,Four ,4,97.5,80,dodge        ,dodge colt hardtop                  ,72,25,USA    ,USA    ,2126
23.5,Four ,4,97,54,volkswagen   ,volkswagen type 3                   ,72,23,Europe ,Germany,2254
19.5,Four ,4,140,90,chevrolet    ,chevrolet vega                      ,72,20,USA    ,USA    ,2408
16.5,Four ,4,122,86,ford         ,ford pinto runabout                 ,72,21,USA    ,USA    ,2226
12,Other,8,350,165,chevrolet    ,chevrolet impala                    ,72,13,USA    ,USA    ,4274
12,Other,8,400,175,pontiac      ,pontiac catalina                    ,72,14,USA    ,USA    ,4385
13.5,Other,8,318,150,plymouth     ,plymouth fury iii                   ,72,15,USA    ,USA    ,4135
13,Other,8,351,153,ford         ,ford galaxie 500                    ,72,14,USA    ,USA    ,4129
11.5,Other,8,304,150,amc          ,amc ambassador sst                  ,72,17,USA    ,USA    ,3672
11,Other,8,429,208,mercury      ,mercury marquis                     ,72,11,USA    ,USA    ,4633
13.5,Other,8,350,155,buick        ,buick lesabre custom                ,72,13,USA    ,USA    ,4502
13.5,Other,8,350,160,oldsmobile   ,oldsmobile delta 88 royale          ,72,12,USA    ,USA    ,4456
12.5,Other,8,400,190,chrysler     ,chrysler newport royal              ,72,13,USA    ,USA    ,4422
13.5,Other,3,70,97,mazda        ,mazda rx2 coupe                     ,72,19,Japan  ,Japan  ,2330
12.5,Other,8,304,150,amc          ,amc matador (sw)                    ,72,15,USA    ,USA    ,3892
14,Other,8,307,130,chevrolet    ,chevrolet chevelle concours (sw)    ,72,13,USA    ,USA    ,4098
16,Other,8,302,140,ford         ,ford gran torino (sw)               ,72,13,USA    ,USA    ,4294
14,Other,8,318,150,plymouth     ,plymouth satellite custom (sw)      ,72,14,USA    ,USA    ,4077
14.5,Four ,4,121,112,volvo        ,volvo 145e (sw)                     ,72,18,Europe ,Sweden ,2933
18,Four ,4,121,76,volkswagen   ,volkswagen 411 (sw)                 ,72,22,Europe ,Germany,2511
19.5,Four ,4,120,87,peugeot      ,peugeot 504 (sw)                    ,72,21,Europe ,France ,2979
18,Four ,4,96,69,renault      ,renault 12 (sw)                     ,72,26,Europe ,France ,2189
16,Four ,4,122,86,ford         ,ford pinto (sw)                     ,72,22,USA    ,USA    ,2395
17,Four ,4,97,92,datsun       ,datsun 510 (sw)                     ,72,28,Japan  ,Japan  ,2288
14.5,Four ,4,120,97,toyota       ,toyota corona mark ii (sw)          ,72,23,Japan  ,Japan  ,2506
15,Four ,4,98,80,dodge        ,dodge colt (sw)                     ,72,28,USA    ,USA    ,2164
16.5,Four ,4,97,88,toyota       ,toyota corolla 1600 (sw)            ,72,27,Japan  ,Japan  ,2100
13,Other,8,350,175,buick        ,buick century 350                   ,73,13,USA    ,USA    ,4100
11.5,Other,8,304,150,amc          ,amc matador                         ,73,14,USA    ,USA    ,3672
13,Other,8,350,145,chevrolet    ,chevrolet malibu                    ,73,13,USA    ,USA    ,3988
14.5,Other,8,302,137,ford         ,ford gran torino                    ,73,14,USA    ,USA    ,4042
12.5,Other,8,318,150,dodge        ,dodge coronet custom                ,73,15,USA    ,USA    ,3777
11.5,Other,8,429,198,mercury      ,mercury marquis brougham            ,73,12,USA    ,USA    ,4952
12,Other,8,400,150,chevrolet    ,chevrolet caprice classic           ,73,13,USA    ,USA    ,4464
13,Other,8,351,158,ford         ,ford ltd                            ,73,13,USA    ,USA    ,4363
14.5,Other,8,318,150,plymouth     ,plymouth fury gran sedan            ,73,14,USA    ,USA    ,4237
11,Other,8,440,215,chrysler     ,chrysler new yorker brougham        ,73,13,USA    ,USA    ,4735
11,Other,8,455,225,buick        ,buick electra 225 custom            ,73,12,USA    ,USA    ,4951
11,Other,8,360,175,amc          ,amc ambassador brougham             ,73,13,USA    ,USA    ,3821
16.5,Other,6,225,105,plymouth     ,plymouth valiant                    ,73,18,USA    ,USA    ,3121
18,Other,6,250,100,chevrolet    ,chevrolet nova custom               ,73,16,USA    ,USA    ,3278
16,Other,6,232,100,amc          ,amc hornet                          ,73,18,USA    ,USA    ,2945
16.5,Other,6,250,88,ford         ,ford maverick                       ,73,18,USA    ,USA    ,3021
16,Other,6,198,95,plymouth     ,plymouth duster                     ,73,23,USA    ,USA    ,2904
21,Four ,4,97,46,volkswagen   ,volkswagen super beetle             ,73,26,Europe ,Germany,1950
14,Other,8,400,150,chevrolet    ,chevrolet impala                    ,73,11,USA    ,USA    ,4997
12.5,Other,8,400,167,ford         ,ford country                        ,73,12,USA    ,USA    ,4906
13,Other,8,360,170,plymouth     ,plymouth custom suburb              ,73,13,USA    ,USA    ,4654
12.5,Other,8,350,180,oldsmobile   ,oldsmobile vista cruiser            ,73,12,USA    ,USA    ,4499
15,Other,6,232,100,amc          ,amc gremlin                         ,73,18,USA    ,USA    ,2789
19,Four ,4,97,88,toyota       ,toyota carina                       ,73,20,Japan  ,Japan  ,2279
19.5,Four ,4,140,72,chevrolet    ,chevrolet vega                      ,73,21,USA    ,USA    ,2401
16.5,Four ,4,108,94,datsun       ,datsun 610                          ,73,22,Japan  ,Japan  ,2379
13.5,Other,3,70,90,mazda        ,mazda rx3                           ,73,18,Japan  ,Japan  ,2124
18.5,Four ,4,122,85,ford         ,ford pinto                          ,73,19,USA    ,USA    ,2310
14,Other,6,155,107,mercury      ,mercury capri v6                    ,73,21,USA    ,USA    ,2472
15.5,Four ,4,98,90,fiat         ,fiat 124 sport coupe                ,73,26,Europe ,Italy  ,2265
13,Other,8,350,145,chevrolet    ,chevrolet monte carlo s             ,73,15,USA    ,USA    ,4082
9.5,Other,8,400,230,pontiac      ,pontiac grand prix                  ,73,16,USA    ,USA    ,4278
19.5,Four ,4,68,49,fiat         ,fiat 128                            ,73,29,Europe ,Italy  ,1867
15.5,Four ,4,116,75,opel         ,opel manta                          ,73,24,Europe ,Germany,2158
14,Four ,4,114,91,audi         ,audi 100ls                          ,73,20,Europe ,Germany,2582
15.5,Four ,4,121,112,volvo        ,volvo 144ea                         ,73,19,Europe ,Sweden ,2868
11,Other,8,318,150,dodge        ,dodge dart custom                   ,73,15,USA    ,USA    ,3399
14,Four ,4,121,110,saab         ,saab 99le                           ,73,24,Europe ,Sweden ,2660
13.5,Other,6,156,122,toyota       ,toyota mark ii                      ,73,20,Japan  ,Japan  ,2807
11,Other,8,350,180,oldsmobile   ,oldsmobile omega                    ,73,11,USA    ,USA    ,3664
16.5,Other,6,198,95,plymouth     ,plymouth duster                     ,74,20,USA    ,USA    ,3102
17,Other,6,200,NaN,ford         ,ford maverick                       ,74,21,USA    ,USA    ,2875
16,Other,6,232,100,amc          ,amc hornet                          ,74,19,USA    ,USA    ,2901
17,Other,6,250,100,chevrolet    ,chevrolet nova                      ,74,15,USA    ,USA    ,3336
19,Four ,4,79,67,datsun       ,datsun b210                         ,74,31,Japan  ,Japan  ,1950
16.5,Four ,4,122,80,ford         ,ford pinto                          ,74,26,USA    ,USA    ,2451
21,Four ,4,71,65,toyota       ,toyota corolla 1200                 ,74,32,Japan  ,Japan  ,1836
17,Four ,4,140,75,chevrolet    ,chevrolet vega                      ,74,25,USA    ,USA    ,2542
17,Other,6,250,100,chevrolet    ,chevrolet chevelle malibu classic   ,74,16,USA    ,USA    ,3781
18,Other,6,258,110,amc          ,amc matador                         ,74,16,USA    ,USA    ,3632
16.5,Other,6,225,105,plymouth     ,plymouth satellite sebring          ,74,18,USA    ,USA    ,3613
14,Other,8,302,140,ford         ,ford gran torino                    ,74,16,USA    ,USA    ,4141
14.5,Other,8,350,150,buick        ,buick century luxus (sw)            ,74,13,USA    ,USA    ,4699
13.5,Other,8,318,150,dodge        ,dodge coronet custom (sw)           ,74,14,USA    ,USA    ,4457
16,Other,8,302,140,ford         ,ford gran torino (sw)               ,74,14,USA    ,USA    ,4638
15.5,Other,8,304,150,amc          ,amc matador (sw)                    ,74,14,USA    ,USA    ,4257
16.5,Four ,4,98,83,audi         ,audi fox                            ,74,29,Europe ,Germany,2219
15.5,Four ,4,79,67,volkswagen   ,volkswagen dasher                   ,74,26,Europe ,Germany,1963
14.5,Four ,4,97,78,opel         ,opel manta                          ,74,26,Europe ,Germany,2300
16.5,Four ,4,76,52,toyota       ,toyota corona                       ,74,31,Japan  ,Japan  ,1649
19,Four ,4,83,61,datsun       ,datsun 710                          ,74,32,Japan  ,Japan  ,2003
14.5,Four ,4,90,75,dodge        ,dodge colt                          ,74,28,USA    ,USA    ,2125
15.5,Four ,4,90,75,fiat         ,fiat 128                            ,74,24,Europe ,Italy  ,2108
14,Four ,4,116,75,fiat         ,fiat 124 tc                         ,74,26,Europe ,Italy  ,2246
15,Four ,4,120,97,honda        ,honda civic                         ,74,24,Japan  ,Japan  ,2489
15.5,Four ,4,108,93,subaru       ,subaru                              ,74,26,Japan  ,Japan  ,2391
16,Four ,4,79,67,fiat         ,fiat x1.9                           ,74,31,Europe ,Italy  ,2000
16,Other,6,225,95,plymouth     ,plymouth valiant custom             ,75,19,USA    ,USA    ,3264
16,Other,6,250,105,chevrolet    ,chevrolet nova                      ,75,18,USA    ,USA    ,3459
21,Other,6,250,72,mercury      ,mercury monarch                     ,75,15,USA    ,USA    ,3432
19.5,Other,6,250,72,ford         ,ford maverick                       ,75,15,USA    ,USA    ,3158
11.5,Other,8,400,170,pontiac      ,pontiac catalina                    ,75,16,USA    ,USA    ,4668
14,Other,8,350,145,chevrolet    ,chevrolet bel air                   ,75,15,USA    ,USA    ,4440
14.5,Other,8,318,150,plymouth     ,plymouth grand fury                 ,75,16,USA    ,USA    ,4498
13.5,Other,8,351,148,ford         ,ford ltd                            ,75,14,USA    ,USA    ,4657
21,Other,6,231,110,buick        ,buick century                       ,75,17,USA    ,USA    ,3907
18.5,Other,6,250,105,chevrolet    ,chevrolet chevelle malibu           ,75,16,USA    ,USA    ,3897
19,Other,6,258,110,amc          ,amc matador                         ,75,15,USA    ,USA    ,3730
19,Other,6,225,95,plymouth     ,plymouth fury                       ,75,18,USA    ,USA    ,3785
15,Other,6,231,110,buick        ,buick skyhawk                       ,75,21,USA    ,USA    ,3039
13.5,Other,8,262,110,chevrolet    ,chevrolet monza 2+2                 ,75,20,USA    ,USA    ,3221
12,Other,8,302,129,ford         ,ford mustang ii                     ,75,13,USA    ,USA    ,3169
16,Four ,4,97,75,toyota       ,toyota corolla                      ,75,29,Japan  ,Japan  ,2171
17,Four ,4,140,83,ford         ,ford pinto                          ,75,23,USA    ,USA    ,2639
16,Other,6,232,100,amc          ,amc gremlin                         ,75,20,USA    ,USA    ,2914
18.5,Four ,4,140,78,pontiac      ,pontiac astro                       ,75,23,USA    ,USA    ,2592
13.5,Four ,4,134,96,toyota       ,toyota corona                       ,75,24,Japan  ,Japan  ,2702
16.5,Four ,4,90,71,volkswagen   ,volkswagen dasher                   ,75,25,Europe ,Germany,2223
17,Four ,4,119,97,datsun       ,datsun 710                          ,75,24,Japan  ,Japan  ,2545
14.5,Other,6,171,97,ford         ,ford pinto                          ,75,18,USA    ,USA    ,2984
14,Four ,4,90,70,volkswagen   ,volkswagen rabbit                   ,75,29,Europe ,Germany,1937
17,Other,6,232,90,amc          ,amc pacer                           ,75,19,USA    ,USA    ,3211
15,Four ,4,115,95,audi         ,audi 100ls                          ,75,23,Europe ,Germany,2694
17,Four ,4,120,88,peugeot      ,peugeot 504                         ,75,23,Europe ,France ,2957
14.5,Four ,4,121,98,volvo        ,volvo 244dl                         ,75,22,Europe ,Sweden ,2945
13.5,Four ,4,121,115,saab         ,saab 99le                           ,75,25,Europe ,Sweden ,2671
17.5,Four ,4,91,53,honda        ,honda civic cvcc                    ,75,33,Japan  ,Japan  ,1795
15.5,Four ,4,107,86,fiat         ,fiat 131                            ,76,28,Europe ,Italy  ,2464
16.9,Four ,4,116,81,opel         ,opel 1900                           ,76,25,Europe ,Germany,2220
14.9,Four ,4,140,92,ford         ,ford capri ii                       ,76,25,USA    ,USA    ,2572
17.7,Four ,4,98,79,dodge        ,dodge colt                          ,76,26,USA    ,USA    ,2255
15.3,Four ,4,101,83,renault      ,renault 12tl                        ,76,27,Europe ,France ,2202
13,Other,8,305,140,chevrolet    ,chevrolet chevelle malibu classic   ,76,17.5,USA    ,USA    ,4215
13,Other,8,318,150,dodge        ,dodge coronet brougham              ,76,16,USA    ,USA    ,4190
13.9,Other,8,304,120,amc          ,amc matador                         ,76,15.5,USA    ,USA    ,3962
12.8,Other,8,351,152,ford         ,ford gran torino                    ,76,14.5,USA    ,USA    ,4215
15.4,Other,6,225,100,plymouth     ,plymouth valiant                    ,76,22,USA    ,USA    ,3233
14.5,Other,6,250,105,chevrolet    ,chevrolet nova                      ,76,22,USA    ,USA    ,3353
17.6,Other,6,200,81,ford         ,ford maverick                       ,76,24,USA    ,USA    ,3012
17.6,Other,6,232,90,amc          ,amc hornet                          ,76,22.5,USA    ,USA    ,3085
22.2,Four ,4,85,52,chevrolet    ,chevrolet chevette                  ,76,29,USA    ,USA    ,2035
22.1,Four ,4,98,60,chevrolet    ,chevrolet woody                     ,76,24.5,USA    ,USA    ,2164
